pageId,pageName,landingDomain,count,share
1003176282885386,Arrows GO GO,play.google.com,96,0.814
1003176282885386,Arrows GO GO,app.appsflyer.com,22,0.186
1029066410292901,Arrows GO - puzzle game,play.google.com,65,1.000
1083595128159871,Go Arrow,play.google.com,126,0.818
1083595128159871,Go Arrow,app.appsflyer.com,18,0.117
1083595128159871,Go Arrow,apps.apple.com,7,0.045
1083595128159871,Go Arrow,itunes.apple.com,3,0.019
1094680553722830,Arrow Go,play.google.com,122,0.946
1094680553722830,Arrow Go,itunes.apple.com,4,0.031
1094680553722830,Arrow Go,app.appsflyer.com,2,0.016
1094680553722830,Arrow Go,apps.apple.com,1,0.008
899629066577253,Arrows GO！,play.google.com,147,0.865
899629066577253,Arrows GO！,apps.apple.com,12,0.071
899629066577253,Arrows GO！,app.appsflyer.com,8,0.047
899629066577253,Arrows GO！,itunes.apple.com,3,0.018
993669333838225,Arrows GO - escape,play.google.com,57,1.000
