weekStart,adsStarted,activeStarted,inactiveStarted,pages
2026-06-29,274,153,121,Arrows GO GO / Go Arrow / Go Amaze / Amaze Go GO！ / Arrow Go / Arrows GO！ / Amaze GO！
2026-04-13,53,5,48,Arrows GO GO / Arrows GO - puzzle game / Go Arrow / Arrow Go / Arrows GO！ / Arrows GO - escape
2026-05-11,50,5,45,Arrows GO GO / Arrows GO - puzzle game / Go Arrow / Arrow Go / Arrows GO！
2026-05-18,47,20,27,Arrows GO GO / Arrows GO - puzzle game / Go Arrow / Arrow Go / Arrows GO！
2026-03-23,45,0,45,Arrows GO GO / Arrows GO - puzzle game / Arrow Go / Arrows GO - escape
2026-06-22,37,26,11,Arrows GO GO / Go Amaze / Arrow Go / Arrows GO！
2026-04-06,29,11,18,Go Arrow / Arrow Go / Arrows GO！
2026-03-30,29,6,23,Arrows GO GO / Go Arrow / Arrow Go / Arrows GO！
2026-03-16,28,0,28,Arrows GO GO / Arrows GO - puzzle game / Go Arrow / Arrow Go / Arrows GO！ / Arrows GO - escape
2026-06-15,25,3,22,Arrows GO GO / Go Amaze / Arrow Go / Arrows GO！
2026-05-04,21,15,6,Arrows GO - puzzle game / Go Arrow / Arrows GO！
2026-06-01,18,9,9,Go Arrow / Arrow Go / Arrows GO！
2026-06-08,15,8,7,Go Amaze / Go Arrow / Arrow Go / Arrows GO！
2026-04-27,15,2,13,Arrows GO GO / Arrows GO - puzzle game / Go Arrow / Arrow Go / Arrows GO！
2026-04-20,4,2,2,Arrow Go / Arrows GO！
2026-05-25,3,2,1,Go Arrow / Arrows GO！
